聶心怡,59,71,54,76,56
張慧君,42,59,92,54,96
賴心怡,78,65,80,44,81
張天亨,99,53,81,63,75
李蓉瑞,65,44,62,90,43
彭偉妃,90,48,81,89,68
李立偉,80,83,84,87,55
陳冠霞,85,64,87,90,81
傅佳琳,81,74,84,53,89
陳信念,91,56,99,91,72
盧文啟,57,67,91,54,44
王雅慧,54,43,76,48,63
陳樂紫,40,76,89,100,100
盧必妍,57,98,71,71,64
陳美惠,65,92,75,71,73
盧冠發,44,60,53,40,97
陳家年,41,45,84,98,41
郭舜昇,69,87,75,96,96
林志成,85,44,80,100,82
郭舜昇,86,80,84,99,71
謝哲維,99,97,64,100,85
賴昌韻,50,98,64,100,96
劉萬季,48,60,75,96,94
鄭淑珍,52,60,49,63,54
黃婷婷,62,75,90,81,54
洪奎夫,78,71,92,60,57
詹忠光,100,59,63,91,60
王坤安,49,97,84,86,57
林瑞喬,75,44,83,58,60
高俊男,46,60,94,56,55
劉佳佩,59,86,53,73,83
溫重意,85,43,90,46,86
謝南慧,81,86,57,67,43
游一鈺,89,90,68,66,100
王雅琴,44,93,96,96,71
吳志宣,72,81,97,88,50
昌嘉洋,89,40,73,86,83
蔡孟泉,96,97,81,71,68
賴又琦,98,41,66,78,69
李湘婷,76,77,89,90,47
林麗萍,71,80,63,62,68
吳柏誠,92,49,68,71,63
張明惟,71,75,40,71,77
吳晴洋,53,44,43,71,88
周怡啟,90,90,100,84,87
鄭奇翰,73,75,65,56,47
林志成,74,78,95,64,41
王惠皓,63,100,71,49,54
潘英迪,63,72,66,45,98
陳倩潔,87,80,81,40,93
