姓名,科目1,科目2,科目3,科目4,科目5,科目6,科目7
陳倩妮,43,57,73,55,79,83,85
李政成,86,55,99,73,86,73,90
林志喜,42,62,69,90,66,52,44
黃詩妃,48,77,97,78,64,84,84
聶心怡,64,47,79,68,100,54,49
簡國瑋,94,47,63,44,63,96,75
黃佩玲,93,53,100,90,50,91,89
楊建安,56,69,42,91,90,80,72
陳家維,94,93,47,70,65,80,81
魏秋萍,60,83,80,78,91,86,80
邱亭君,56,98,85,52,95,53,60
杜儀鳳,40,47,69,40,73,51,97
林昱芳,90,88,77,62,86,94,86
陳向愛,76,93,53,89,56,55,49
林希啟,75,40,63,88,89,76,44
楊火帆,80,90,67,63,61,66,44
趙家豪,57,42,78,71,92,59,52
鄧淑娟,42,75,88,59,89,63,91
程玫靖,61,45,50,76,65,91,42
黃志福,72,65,66,58,84,49,97
陳樂紫,88,91,46,95,50,55,76
孫火清,80,87,59,70,84,44,55
黃善迪,87,56,57,80,62,85,95
余丞苓,79,40,95,45,57,41,93
賴佳雯,65,72,46,91,40,96,65
黃偉剛,77,85,50,59,69,65,83
潘英迪,74,48,62,77,99,69,43
林佳光,63,42,54,64,57,60,46
胡芳瑜,77,77,52,46,40,44,56
簡佳樺,40,76,80,69,66,73,62
鍾俞禎,62,42,46,87,69,65,77
葉祖雄,97,69,65,80,74,40,65
鄧哲榮,58,77,89,62,97,80,62
張莉雯,93,58,49,93,73,69,61
黃佩芬,73,47,83,55,85,40,89
昌嘉洋,80,81,82,61,47,60,85
游淑惠,84,62,81,72,91,73,90
張伊映,70,77,57,96,68,43,91
陳孝邦,51,97,68,85,81,65,87
黃佩芬,55,59,40,58,86,64,75
彭茹靖,73,67,43,76,83,90,57
周怡啟,100,43,57,90,64,53,48
周芷蓁,96,89,84,93,67,84,63
蔡偉成,77,88,57,67,53,80,42
劉萬季,67,99,81,47,91,65,70
葉軍仰,46,63,98,80,47,95,51
朱彥志,98,93,79,43,79,95,42
陳冠霞,73,57,40,51,40,54,77
聶心怡,40,67,68,58,68,79,79
張伊映,55,73,91,64,92,49,86
