姓名,國文,英文,數學,地理,歷史
張凡成,89,68,78,73,69
方雅慧,91,70,67,72,78
翁均安,45,78,62,54,68
柯宜臻,86,72,76,90,71
鄭淑珍,58,45,60,100,54
楊易政,95,77,49,83,49
王泓泰,87,79,61,48,95
盧必妍,73,56,83,53,89
林冠蕙,67,58,70,93,52
楊火帆,57,100,67,50,45
吳晴洋,86,49,76,76,64
陳奇瑄,46,63,68,94,75
黃必琪,84,86,46,99,79
趙宛真,88,78,100,52,85
劉耿琦,69,90,79,89,79
白世宏,79,73,56,75,58
張天亨,89,48,56,53,90
蔡欣汝,55,92,60,73,53
程玫靖,52,53,86,69,76
白世宏,75,75,64,79,45
臧怡君,64,67,67,88,88
張彥博,96,70,47,53,91
王雅慧,55,45,99,60,83
蔡士賢,61,86,97,64,84
蔡士賢,91,77,84,79,93
羅幸娥,48,54,74,69,67
吳麗卿,64,79,63,60,54
陳怡容,74,49,77,66,78
龐皓芳,84,69,77,58,81
張伊映,60,98,48,99,61
陳建豪,92,46,66,59,62
張家秀,56,51,70,51,81
蔡欣汝,85,49,57,79,58
鄭佳玲,92,46,86,86,80
吳淑惠,61,71,64,53,87
戴萱能,70,54,87,98,96
謝哲維,74,66,52,55,89
黃偉剛,50,59,81,50,65
艾巧夫,56,64,92,89,76
林珍旺,86,81,59,93,93
黃必琪,48,63,86,71,47
王德城,67,79,62,92,99
賴昌韻,64,74,67,78,75
黃婷婷,65,63,100,100,51
林佳光,47,46,51,57,76
趙家豪,63,50,50,57,49
王德城,78,65,49,90,67
郭致恬,76,66,97,84,84
許淑婷,72,80,68,52,73
蔡嘉音,67,73,57,54,66
